;Y_UTM;X_UTM;ZoneNumber;ZoneLetter;Latitude;Longitude;past_mer;Y;X;SiO2;TiO2;Al2O3;Fe2O3;FeO;MnO;MgO;CaO;Na2O;K2O;P2O5;l.i.;oth;sum;hs;type_granite;time;massif;sampler;others;sampler+year;area
1512;-363219026,5;-203364295,5;1;W;"52°9'20.0""";"116°15'0.0""";;52,15546004;116,2499045;72,9139667;0,209351012;13,55797029;0,797527664;1,4255807;0,029907287;0,299072874;0,717774898;4,605722261;4,137174758;0,059814575;1,23616788;0,009969096;100;0,01;Granite;J3;Zangan massif;T.A.Alfer'eva;;V.A.Gulin,1960;1
1515;-331295885,9;-142272804,1;1;W;"51°29'30.0""";"110°10'0.0""";;51,49156571;110,1665657;73,31328321;0,270676692;13,80451128;1,182957393;0,992481203;0,020050125;0,661654135;1,43358396;3,588972431;4,521303258;0,050125313;0,15037594;0,010025063;100;0,12;Granite fine-grained;Tr;;M.I.Kodachigova;;V.A.Novikov,1966;1
1526;-355319743,4;-51326523,81;1;W;"49°37'0.0""";"112°22'0.0""";;49,61674042;112,3667404;73,22716346;0,310496795;14,93389423;0,540865385;1,392227564;0,030048077;0,771233974;1,752804487;3,165064103;3,104967949;0,010016026;0,751201923;0,010016026;100;0,08;Granite porphyraceous;J3;Khamaro-Tyrin massif;;;V.M.Sergeevsky,1965;1
1527;-352823180,3;-96915500,46;1;W;"50°24'0.0""";"112°34'0.0""";;50,39997583;112,5666425;73,35674862;0,150526844;14,01906673;0,572002007;2,017059709;0,020070246;0,190667336;0,65228299;4,164576016;4,716507777;0,070245861;0,060210738;0,010035123;100;0,01;Granite subalkaline;Tr;;E.VSaranina;;V.V.Gol'bert,1968;1
1528;-365828377,6;-277581506;1;W;"53°29'30.0""";"118°52'10.0""";;53,49156993;118,8693477;73,34938792;0,20068232;13,04435079;0,772626932;1,505117399;0,040136464;0,35119406;0,973309251;3,913305238;4,916716837;0,080272928;0,842865744;0,010034116;100;0,01;Granite-porphyry leucocratic;J2-J3;;;;S.P.Smelovsky,1971;1
1529;-340539363,2;-345615577,6;1;W;"55°32'0.0""";"119°8'0.0""";;55,53337039;119,1333704;73,1292517;0,110044018;15,07603041;0,550220088;1,150460184;0,030012005;0,360144058;1,080432173;3,461384554;4,741896759;0,06002401;0,240096038;0,010004002;100;0,01;Morion-granite;Mz;;N.A.Ogneva;;S.P.Smelovsky,1957;1
1531;-372356425,4;-264189608,5;1;W;"53°6'30.0""";"119°12'20.0""";;53,10822384;119,2054461;73,14388633;0,230138083;13,98839304;0,530318191;1,931158695;0,060036022;0,560336202;1,440864519;4,152491495;3,702221333;0,080048029;0,170102061;0,010006004;100;0,01;Granite porphyraceous;J3;;N.P.Mel'nikova;;S.A.Kozlov,1968;1
1532;-330499546,6;-355349528,8;1;W;"56°4'30.0""";"118°46'30.0""";;56,07500477;118,7750048;73,10731073;0,250025003;13,61136114;1,050105011;1,500150015;0,070007001;0,560056006;1,110111011;4,00040004;4,100410041;0,130013001;0,500050005;0,010001;100;0,01;Bt granite;Mz;Ust' -Sakukan massif;L.S.Voronova;;l.A.Tombasov,1971;1
1534;-342604001,3;-236922586,1;1;W;"53°11'0.0""";"114°31'50.0""";;53,18337086;114,5305931;73,4942182;0,281548517;12,99145299;1,357466063;1,508295626;0,080442433;0,201106083;0,91503268;4,303670186;4,62543992;0,080442433;0,150829563;0,010055304;100;0,01;Amf-Bt granite;Tr-J;;N.I.Serebryakova;;M.I.Nikul'shin,1961;1
1536;-341467968,7;-90565459,63;1;W;"50°24'0.0""";"110°44'0.0""";;50,39988088;110,7332142;72,96595787;0,269541779;13,86642707;0,738744135;1,776979135;0,029949087;0,419287212;1,547369472;3,264450434;4,891684137;0,009983029;0,209643606;0,009983029;100;0,34;Bt granite porphyraceous;Tr-J;;E.G.Ivanova;;L.A.Kozubova,1957;1
1542;-340548585;-338986855,4;1;W;"55°23'20.0""";"118°46'40.0""";;55,38873721;118,7776261;73,08730873;0,200020002;13,66136614;0,650065007;1,360136014;0,060006001;0,310031003;0,97009701;4,600460046;4,650465047;0,060006001;0,380038004;0,010001;100;0,01;Granite;Tr;;O.S.Beloborod'ko;;K.F.Khatskevich,1968;1
1543;-326644579;-224085212,2;1;W;"53°15'40.0""";"111°57'0.0""";;53,26121797;111,9501069;72,76710146;0,308672707;13,26296923;1,712635667;0,926018122;0,089614657;0,328587076;0,448073285;4,331375087;5,376879419;0,019914368;0,418201733;0,009957184;100;0,06;Granite-porphyry;Tr;;E.A.Kotlyarova;;E.E.Zelensky,1974;1
1544;-360090171,4;-112845072,8;1;W;"50°36'0.0""";"113°54'0.0""";;50,59993994;113,8999399;73,09461892;0,130026005;15,24304861;0,300060012;1,420284057;0,090018004;0,330066013;0,540108022;3,090618124;4,320864173;0,160032006;1,270254051;0,010002;100;0,01;Mu granite;J3;Zun-Undur massif;;;I.F.Grigor'ev,1957;1
1554;-331641490,3;-142535989,7;1;W;"51°29'30.0""";"110°13'30.0""";;51,49169552;110,2250289;73,61950826;0,261991133;13,85530028;0,211608222;1,068117694;0,060459492;0,74566707;1,481257557;3,758565095;4,43369609;0,05038291;0,443369609;0,010076582;100;0,01;Granite fine-medium-grained;Tr;;M.I.Kodachigova;;V.A.Novikov,1966;1
1557;-340634017;-260688248,3;1;W;"53°43'0.0""";"115°10'0.0""";;53,7164462;115,1664462;73,28451043;0,180577849;13,2423756;0,652086677;1,795746388;0,060192616;0,310995185;0,581861958;4,765248796;5,016051364;0,030096308;0,070224719;0,010032103;100;0,01;Granite leucocratic;Tr-J;Zimov'e massif;N.P.Mel'nikova;;V.A.Popeko,1968;1
1565;-350558618,5;-137990421,5;1;W;"51°9'0.0""";"112°57'0.0""";;51,14985025;112,9498503;72,79250548;0,199322304;13,13533984;0,398644608;1,813832968;0,029898346;0,607933028;0,767390871;3,936615507;5,630855093;0,109627267;0,568068567;0,009966115;100;0,01;Granite coarse-grained;J3;;N.V.Lebedeva;;E.T.Bubnov,1964;1
1566;-320784697,8;-178321821,5;1;W;"52°24'10.0""";"109°34'0.0""";;52,40266267;109,5665516;72,61159161;0,238592305;13,79858833;1,560791331;0,745600954;0,129237499;0,994134606;0,338005766;4,573019187;4,672432647;0,039765384;0,288299036;0,009941346;100;0,01;Granite;Tr;;E.A.Kotlyarova;;E.M.Badaev,1969;1
1568;-350458881,3;-90765283,66;1;W;"50°19'0.0""";"112°7'0.0""";;50,31658091;112,1165809;72,68836469;0,248830497;12,97899871;1,293918583;1,642281278;0,059719319;0,427988454;1,46312332;3,692644571;4,598387578;0,119438638;0,77635115;0,00995322;100;0,01;Granite-porphyry;J2;;G.L.Znamenskaya;;E.A.Belyakov,1959;1
1570;-341557571,5;-260530025,5;1;W;"53°41'30.0""";"115°16'30.0""";;53,69158315;115,2749165;72,79433755;0,279134682;13,3087429;0,967002293;1,076662347;0,059814575;0,319011066;0,947064101;4,785165985;4,984547902;0,079752766;0,388794736;0,009969096;100;0,01;Granite leucocratic;Tr-J;Zimov'e massif;VI.Zhigalova;;V.A.Popeko,1968;1
1572;-340106863,8;-318525839;1;W;"54°57'30.0""";"117°40'50.0""";;54,95828613;117,6805084;72,92519724;0,259662439;14,0816938;0,729052232;1,078597823;0,009987017;0,389493658;1,128532907;3,525416958;5,392989114;0,059922101;0,409467692;0,009987017;100;0,01;Aplite;Tr;;L.E.Fedoseeva;;V.I.Shulika,1967;1
1573;-368070272,2;-297617172,9;1;W;"53°49'30.0""";"119°52'0.0""";;53,82511322;119,8667799;72,96892175;0,049965024;11,45198361;1,029279504;1,149195563;0,049965024;0,519636255;0,93934246;4,996502448;5,606075747;0,029979015;1,199160588;0,009993005;100;0,01;Granite-porphyry leucocratic subalkaline;J-K;;NISerebryakova;;E.I.Nedorya,1966;1
1574;-353103267,5;-204746350,9;1;W;"52°21'0.0""";"114°55'0.0""";;52,34998731;114,916654;73,1590021;0,190361687;13,82626991;0,631199279;1,933673981;0,070133253;0,571085062;1,653140968;3,81725278;3,887386033;0,100190362;0,150285543;0,010019036;100;0,01;Granite leucocratic;Tr;;D.MShuster;;Yu.D.Penyagin,1964;1
1575;-351846336,6;-260313519,9;1;W;"53°27'20.0""";"116°32'40.0""";;53,4556266;116,5445155;73,22503008;0,22061773;13,40754112;0,661853189;1,484155636;0,040112314;0,591656639;0,882470919;4,863618131;4,312073807;0,050140393;0,250701966;0,010028079;100;0,01;Granite;Tr;;D.M.Shuster;;Yu.D.Penyagin,1966;1
1577;-342822319,3;-222438987,7;1;W;"52°53'10.0""";"114°4'0.0""";;52,88624589;114,0668014;72,82066627;0,219429483;14,04348693;0,817873529;1,615798923;0,049870337;0,568521843;0,987432675;4,388589667;4,139237981;0,079792539;0,259325753;0,009974067;100;0,01;Granosyenite;Tr;;;;A.A.Matlashov,1969;1
1579;-354832229,4;-76371516,58;1;W;"50°2'0.0""";"112°35'0.0""";;50,03340935;112,5834093;73,42587005;0,140816737;12,68356468;0,593441963;2,816334742;0,030175015;0,201166767;0,49285858;3,882518608;5,351036009;0,050291692;0,321866828;0,010058338;100;0,01;Granite-porphyry;J3;Kharalgin massif;AI.Fedorova;;N.K.Dmitrochenko,1968;1
1580;-357175040,3;-47958484,54;1;W;"49°33'0.0""";"112°37'0.0""";;49,54995376;112,6166204;72,60069617;0,228741919;13,95325709;0,109398309;2,386872203;0,039781203;0,23868722;1,034311288;3,729487817;5,370462456;0,099453008;0,198906017;0,009945301;100;0,01;Two mica granite;J2;Khalzan massif;L.S.Voronova;;N.K.Dmitrochenko,1964;1
1582;-339889668;-57571927,19;1;W;"49°50'0.0""";"110°2'0.0""";;49,83335272;110,0333527;73,13896403;0,250475904;14,30718365;0,070133253;2,444644825;0,050095181;0,360685302;1,232341449;2,775273019;5,149784591;0,090171326;0,120228434;0,010019036;100;0,01;Bt granite porphyraceous;Tr;Chikokon massif;N.I.Serebryakova;;V.P.Krasnov,1961;1
1583;-372206148,7;-260256326,1;1;W;"53°2'20.0""";"119°3'40.0""";;53,03876341;119,0609856;73,08038843;0,160176194;14,17559315;0,560616678;2,192411653;0,030033036;0,360396436;0,810891981;3,603964361;4,805285814;0,050055061;0,160176194;0,010011012;100;0,01;Granite leucocratic;Tr;;N.P.Mel'nikova;;S.A.Kozlov,1968;1
1588;-351370897,2;-129285769,2;1;W;"50°59'0.0""";"112°54'0.0""";;50,98341833;112,900085;73,32261953;0,251104861;13,05745279;0,411811973;2,912816392;0,080353556;0,753314584;1,064684612;3,31458417;4,519887505;0,100441945;0,200883889;0,010044194;100;0,01;Granite porphyraceous fine-grained;J3;Olenguy massif;N.I.Serebryakova;;E.V.Barabashev,1959;1
1590;-331014824,3;-40457589,11;1;W;"49°36'0.0""";"108°25'0.0""";;49,60005267;108,4167193;73,22700371;0,260808506;13,72253987;0,050155482;1,725348581;0,020062193;0,902798676;1,785535159;3,320292908;4,804895175;0,070217675;0,100310964;0,010031096;100;0,01;Bt granite porphyraceous;Tr;;D.M.Shuster;;N.P.Kostyakov,1963;1
1592;-321643994,8;-74460674,77;1;W;"50°18'0.0""";"107°20'0.0""";;50,29982;107,3331533;73,0749975;0,39050766;13,88805447;1,632121758;0,400520677;0,030039051;0,080104135;0,78101532;4,005206769;5,006508461;0,010013017;0,690898168;0,010013017;100;0,01;Bt granite;Tr;Tamir massif;S.B.Egorova;;V.A.Novikov,1973;1
1595;-354677278,6;-74299107,57;1;W;"50°0'0.0""";"112°32'0.0""";;50,00005468;112,533388;73,35410594;0,130666399;13,25761383;0,412101719;1,517740476;0,050256307;0,361845412;0,84430596;4,07076088;5,126143331;0,040205046;0,824203438;0,010051261;100;0,01;Granite fine-grained;J3;Kharalgin massif;N.A.Lebedeva;;N.K.Dmitrochenko,1968;1
1599;-340004261,1;-333009313,7;1;W;"55°16'30.0""";"118°24'30.0""";;55,27512349;118,4084568;72,87255294;0,199760288;13,24410707;0,149820216;2,477027567;0,049940072;0,389532561;1,588094287;4,394726328;4,194966041;0,079904115;0,349580503;0,009988014;100;0,01;Granite leucocratic;Tr;;V.I.Zhigalova;;Yu.P.Tryanin,1969;1
1600;-328163147,7;-131097023,1;1;W;"51°19'0.0""";"109°26'0.0""";;51,31675911;109,4334258;73,0622872;0,330462648;13,52894052;1,091528139;2,042860004;0,030042059;0,600841178;0,771079511;3,044261967;5,007009814;0,160224314;0,320448628;0,01001402;100;0,01;Bt granite porphyraceous medium-grained;J1;Bom-Gorkhon massif;L.S.Voronova;;Yu.P.Skryuchenkov,1963;1
1603;-328163190,7;-131094223,8;1;W;"51°19'0.0""";"109°26'0.0""";;51,3167035;109,4333702;72,97189157;0,250075023;13,2939882;0,880264079;1,360408122;0,040012004;0,520156047;1,22036611;4,311293388;4,731419426;0,090027008;0,320096029;0,010003001;100;0,26;Granite leucocratic;J1;Bom-Gorkhon massif;L.S.Voronova;;V.I.Sizykh,1967;1
1604;-326548996,9;-223980334,1;1;W;"53°15'40.0""";"111°56'0.0""";;53,26109156;111,9333138;73,24764009;0,391644909;14,00883712;1,154850372;0,863627234;0,050210886;0,241012251;0,391644909;4,418557943;4,689696726;0,030126531;0,502108857;0,010042177;100;0,01;Granite-porphyry;Tr;;E.A.Kotlyarova;;E.E.Zelensky,1974;1
1609;-340799385,1;-261017682,1;1;W;"53°43'10.0""";"115°12'0.0""";;53,7194341;115,1999897;73,26971371;0,150678051;12,80763435;0,873932697;2,481165244;0,050226017;0,522350578;0,612757408;4,168759417;4,741336012;0,070316424;0,241084882;0,010045203;100;0,01;Bt granite;Tr-J;Zimov'e massif;A.l.Fedorova;;V.A.Popeko,1968;1
1612;-340513586,9;-259103035,5;1;W;"53°41'10.0""";"115°5'20.0""";;53,68623549;115,0890133;73,03685897;0,290464744;13,81209936;0,94150641;1,252003205;0,060096154;0,330528846;0,811298077;4,256810897;4,807692308;0,060096154;0,330528846;0,010016026;100;0,01;Granite;Tr-J;Khuluglin massif;N.P.Mel'n i kova;;V.A.Popeko,1967;1
1613;-320501446,4;-181532412,9;1;W;"52°28'35.0""";"109°37'30.0""";;52,47639752;109,6250086;73,16877383;0,020068232;14,22837648;1,525185631;0,80272928;0,040136464;0,5017058;0,632149308;3,812964078;4,716034517;0,020068232;0,521774032;0,010034116;100;0,01;Bt granosyenite;Tr;;R.T.Vyatkina;;E.M.Bagadaev,1969;1
1614;-352711917,6;-141352185,9;1;W;"51°11'0.0""";"113°20'0.0""";;51,18323212;113,3332321;73,33802675;0,191089208;13,79865232;0,201146535;2,262898522;0,040229307;0,543095645;1,076133964;3,751382882;4,324650508;0,100573268;0,362063763;0,010057327;100;0,01;Granite leucocratic medium-grained;J3;;L.S.Voronova;;P.I.Kovalev,1968;1
1617;-328074180,7;-26038497,93;1;W;"49°22'0.0""";"107°47'30.0""";;49,36655839;107,7915584;73,05611222;0,150300601;13,83767535;0,931863727;1,583166333;0,080160321;0,511022044;0,851703407;3,957915832;4,498997996;0,0501002;0,480961924;0,01002004;100;0,01;Granite;J2;;Buguntay intrusion;;V.A.Varlamov,1960;1
1619;-340970631,1;-263217763,5;1;W;"53°45'40.0""";"115°18'30.0""";;53,76125151;115,3084737;73,00951427;0,300450676;13,36004006;1,141712569;1,291937907;0,060090135;0,280420631;0,79118678;4,556835253;5,007511267;0,060090135;0,130195293;0,010015023;100;0,01;Bt granite;Tr-J;Zimov'e massif;V.I.Zhigalova;;V.A.Popeko,1967;1
1620;-321703537,9;-73842906,43;1;W;"50°17'15.0""";"107°20'0.0""";;50,28751326;107,3333466;73,01682692;0,290464744;13,98237179;0,741185897;0,841346154;0,030048077;0,400641026;0,560897436;4,306891026;5,208333333;0,010016026;0,600961538;0,010016026;100;0,01;Bt granite;Tr;Tamir massif;S.B.Egorova;;V.A.Novikov,1973;1
1621;-371484776,1;-263891260;1;W;"53°7'10.0""";"119°5'20.0""";;53,11968692;119,0891314;73,09003409;0,220573491;14,1568077;0,601564067;1,834770403;0,040104271;0,401042711;0,932424303;4,511730499;3,809905755;0,080208542;0,310808101;0,010026068;100;0,01;Granite leucocratic;Tr;;N.P.Mel'nikova;;S.A.Kozlov,1968;1
1626;-340525887,6;-261243690,9;1;W;"53°43'50.0""";"115°10'30.0""";;53,73056384;115,1750083;73,06265664;0,15037594;13,27318296;1,052631579;1,223057644;0,050125313;0,521303258;1,172932331;4,661654135;4,330827068;0,070175439;0,421052632;0,010025063;100;0,01;Granite leucocratic;Tr-J;Zimov'e massif;AIFedorova;;V.A.Popeko,1968;1
1629;-341822950,1;-338200855,5;1;W;"55°20'0.0""";"118°51'40.0""";;55,33330634;118,8610841;73,19670484;0,261201527;14,48663854;1,034759896;1,295961423;0,030138638;0,27124774;1,24573036;4,018485031;3,918022905;0,120554551;0,110508338;0,010046213;100;0,01;Granite;Tr;;O.S.Beloborod'ko;;K.F.Khatskevich,1968;1
1634;-350778131;-295299481,5;1;W;"54°11'10.0""";"117°47'30.0""";;54,18617321;117,7917288;72,87643822;0,20010005;13,47673837;0,590295148;2,651325663;0,020010005;0,230115058;0,60030015;4,202101051;5,002501251;0,070035018;0,070035018;0,010005003;100;0,01;Granite-porphyry;Tr-J;;;;S.P.Smelovsky,1971;1
1635;-349460170;-201160662,8;1;W;"52°20'40.0""";"114°19'0.0""";;52,34461452;114,3168367;72,73816657;0,219692431;13,70081885;1,318154584;2,57639305;0,049930098;0,299580587;0,439384861;3,395246655;4,593569003;0,059916117;0,599161174;0,00998602;100;0,01;Granite-porphyry;J3;;V.I.Zhigalova;;E.A.Zaykov,1970;1
1639;-323740510,5;-356381682,2;1;W;"56°20'0.0""";"118°15'40.0""";;56,33341641;118,2611942;72,86914766;0,150060024;13,1352541;1,290516206;1,50060024;0,030012005;0,760304122;1,010404162;3,401360544;5,302120848;0,080032013;0,460184074;0,010004002;100;0,01;Granite;Mz;;AIFedorova;;V.T.Sviridenko,1966;1
1647;-332734918,1;-153955604,2;1;W;"51°42'0.0""";"110°39'50.0""";;51,69984757;110,6637365;73,14917127;0,281265696;13,35007534;2,099447514;0,482169764;0,03013561;0,542440984;0,783525866;4,570567554;4,319437469;0,090406831;0,291310899;0,010045203;100;0,01;Granite alkaline;Tr;Mozoy massif;M.I.Kodachigova;;V.A.Novikov,1966;1
1648;-356346187,2;-59949281,98;1;W;"49°45'0.0""";"112°37'0.0""";;49,75013335;112,6168;72,4522293;0,189092357;12,61942675;1,532643312;1,104697452;0,029856688;0,348328025;0,159235669;2,587579618;8,061305732;0,029856688;0,875796178;0,009952229;100;0,01;Granite porphyraceous coarse-grained;J3;;N.P oMel'nikova;;Yu.F.Gayko,1966;1
1649;-356554654,3;-246854846,3;1;W;"53°5'35.0""";"116°40'0.0""";;53,0930686;116,6666797;72,8509957;0,230161113;14,40008006;0,360252177;1,931351946;0,030021015;0,380266186;1,170819574;4,303012108;3,602521765;0,090063044;0,640448314;0,010007005;100;0,01;Granite leucocratic;Tr;;T.I.Linnik;;O.V.Sosnitsky,1969;1
1651;-359807919,5;-209884993;1;W;"52°19'55.0""";"115°58'0.0""";;52,3318449;115,9665671;73,20997586;0,221238938;14,01850362;0,613435237;1,508447305;0,020112631;0,633547868;1,769911504;3,409090909;3,831456154;0,050281577;0,703942076;0,010056315;100;0,01;Granite;Tr;;MoShuster;;A.P.Zinov'eva,1961;1
1653;-331091489,5;-42378228,46;1;W;"49°38'0.0""";"108°27'0.0""";;49,63330852;108,4499752;72,43060392;0,198985176;13,29220973;0,427818128;1,79086658;0,049746294;0,795940702;1,094418466;3,979703512;5,760620834;0,069644811;0,099492588;0,009949259;100;0,01;Granite(plagiogranite);J2;;M.I.Merkul'eva;;N.P.Kostyakov,1965;1
1657;-339453857,7;-74496151,4;1;W;"50°8'0.0""";"110°11'0.0""";;50,13327102;110,183271;72,51444511;0,089659295;16,24825662;1,026100817;0,767085077;0,089659295;0,209205021;0,627615063;3,735803945;3,586371787;0,059772863;1,016138673;0,029886432;100;0,18;Bt granite;J2;Asakan-Shumilovo massif;;Otho:S03-0.03;I.F.Grigor'ev,1949;1
1661;-325188946,4;-106046156,4;1;W;"50°52'0.0""";"108°27'0.0""";;50,86661624;108,4499496;72,889334;0,200300451;12,58888332;0,741111668;1,291937907;0,04006009;0,12018027;1,512268403;4,807210816;4,406609915;0,050075113;1,34201302;0,010015023;100;0,01;Granite;Tr-J;;D.M.Shuster;;V.I.Sizykh,1964;1
1662;-323239760,5;-73831893,7;1;W;"50°16'20.0""";"107°35'0.0""";;50,27225309;107,5833642;72,78727873;0,010001;14,68146815;1,440144014;1,180118012;0,040004;0,330033003;0,860086009;3,550355036;4,920492049;0,010001;0,180018002;0,010001;100;0,01;Bt granite;Tr;Bichur massif;;;V.A.Novikov,1973;1
1663;-332925598,9;-138784343,7;1;W;"51°24'0.0""";"110°20'0.0""";;51,40010283;110,3334362;73,01364366;0,200642055;13,88443018;0,812600321;1,233948636;0,040128411;0,842696629;1,314205457;3,812199037;4,213483146;0,090288925;0,531701445;0,010032103;100;0,01;Granite medium-grained;J1;Khilok massif;M.IKodachigova;;V.A.Novikov,1966;1
1666;-350902970,2;-61543726,39;1;W;"49°49'0.0""";"111°48'0.0""";;49,81668904;111,8000224;73,16509149;0,170922984;14,08606475;0,321737382;2,312487432;0,03016288;0,512768952;0,864669214;3,519002614;4,735572089;0,070380052;0,201085864;0,010054293;100;0,01;Granite porphyraceous;J2;;A.P.Tikhonova;;V.V.Starchenko,1961;1
1669;-354407505,1;-51967289,84;1;W;"49°38'0.0""";"112°14'0.0""";;49,63338103;112,233381;73,04487501;0,050195763;14,60696717;1,064150186;1,00391527;0,010039153;0,773014758;0,11043068;4,116052605;3,814878024;0,060234916;1,335207309;0,010039153;100;0,01;Granite-porphyry;J3;;N.ALebedeva;;N.K.Dmitrochenko,1965;1
1679;-344262665,3;-221635713;1;W;"52°50'30.0""";"114°14'0.0""";;52,84170556;114,2333722;73,12952534;0,251407884;14,3302494;0,703942076;2,162107804;0,070394208;0,120675784;0,553097345;3,97224457;4,324215607;0,060337892;0,311745776;0,010056315;100;0,01;Granite-porphyry;Tr;;E.V.Saranina;;A.A.Matlashov,1969;1
1680;-322780582;-73447005,12;1;W;"50°16'10.0""";"107°30'10.0""";;50,26947307;107,5028064;72,43027888;0,298804781;14,74103586;1,015936255;1,09561753;0,069721116;0,15936255;0,77689243;4,631474104;4,482071713;0,009960159;0,278884462;0,009960159;100;0,01;Bt granite;Tr;Tamir massif;SB.Egorova;;V.A.Novikov,1973;1
1685;-341495518,1;-262068027;1;W;"53°43'30.0""";"115°19'40.0""";;53,72497845;115,3277562;72,96077054;0,300993278;13,52463128;1,143774456;1,294271095;0,050165546;0,41135748;0,732416976;4,514899167;4,61523026;0,070231765;0,371225043;0,010033109;100;0,01;Granite leucocratic;Tr-J;Zimov'e massif;VI.Zhigalova;;V.A.Popeko,1968;1
1687;-344594009,7;-284086608,7;1;W;"54°6'30.0""";"116°36'5.0""";;54,10822404;116,6012796;72,53865337;0,249376559;13,95511222;0,448877805;2,21446384;0,049875312;0,598503741;1,067331671;4,12967581;4,049875312;0,139650873;0,548628429;0,009975062;100;0,01;Granite-porphyry;Tr-J;Upper-Gelandzhak massif;N.A.Ogneva;;P.M.Goloschukov,1963;1
1688;-322705375,8;-73697418,45;1;W;"50°16'30.0""";"107°29'40.0""";;50,27493371;107,4943782;72,61833433;0,219692431;14,65947673;1,208308368;1,018573996;0,039944078;0,639105253;0,559217096;4,413820651;4,244058318;0,00998602;0,359496705;0,00998602;100;0,01;Bt granite;Tr;Tamir massif;S.BEgorova;;V.A.Novikov,1973;1
1690;-360090152;-112841427;1;W;"50°36'0.0""";"113°54'0.0""";;50,5998781;113,8998781;73,08272188;0,110563876;14,62458539;0,673434516;1,859483365;0,130666399;0,190973967;0,341742889;3,186249874;4,392401246;0,231179013;1,165946326;0,010051261;100;0,01;Mu granite;J3;Zun-Undur massif;;;I.F.Grigor'ev,1957;1
1695;-336810700,9;-207788417,2;1;W;"52°42'30.0""";"112°46'30.0""";;52,70823434;112,774901;72,94802328;0,331125828;14,15813767;0,30102348;1,966686735;0,060204696;0,40136464;0,35119406;4,093919326;4,394942806;0,230784668;0,7525587;0,010034116;100;0,01;Granite;Tr-J;;V.P.Usacheva;;V.A.Slipchenko,1966;1
1697;-340847333,5;-260936417,9;1;W;"53°43'0.0""";"115°12'10.0""";;53,71661807;115,2027292;72,86029264;0,260573261;13,12888354;1,252756063;1,503307276;0,060132291;0,60132291;1,3429545;4,058929645;4,529965925;0,090198437;0,300661455;0,010022049;100;0,01;Granite porphyraceous;Tr-J;Zimov'e massif;A.I.Fedorova;;V.A.Popeko,1968;1
1702;-341816106,3;-264431051,9;1;W;"53°46'0.0""";"115°27'40.0""";;53,76656598;115,4610104;72,8694606;0,320834169;13,50511329;1,203128133;0,942450371;0,050130339;0,481251253;1,012632845;4,361339483;4,812512533;0,120312813;0,310808101;0,010026068;100;0,01;Granite leucocratic porphyraceous;Tr-J;Kamenka massif;VI.Zhigalova;;V.A.Popeko,1968;1
1704;-326499661,9;-307848819,7;1;W;"55°7'20.0""";"115°41'30.0""";;55,12219527;115,6916397;72,99116111;0,231016472;13,64001607;1,094817196;1,10486139;0,030132583;0,723182001;1,124949779;4,118119727;4,720771394;0,060265167;0,150662917;0,010044194;100;0,02;Granite fine-grained;Tr-J;;;;V.A.Kozlov,1963;1
1708;-327770809,7;-130811243,4;1;W;"51°19'0.0""";"109°22'0.0""";;51,31660788;109,3666079;72,47157391;0,219429483;14,06343507;0,857769799;1,35647317;0,059844405;0,538599641;0,957510473;3,790145621;4,987033712;0,089766607;0,598444045;0,009974067;100;0,01;Bt granite medium-grained;J1;Bom-Gorkhon massif;V.IZhigal ova;;N.A.Ageev,1967;1
1709;-322737829,8;-73709687,33;1;W;"50°16'30.0""";"107°30'0.0""";;50,27484817;107,4998482;73,13537997;0,342224459;13,86009059;0,674383493;1,227981882;0,040261701;0,724710619;0,563663815;4,328132864;4,609964771;0,010065425;0,473074987;0,010065425;100;0,01;Bt granite;Tr;Tamir massif;S.B.Egorova;;V.A.Novikov,1973;1
1711;-340199174,8;-315683607;1;W;"54°53'40.0""";"117°33'0.0""";;54,89434218;117,5498977;72,49326549;0,169609897;13,31936546;0,947820014;1,566397286;0,059862317;1,785892447;0,488875586;4,439788486;4,389903223;0,089793475;0,239449267;0,009977053;100;0,01;Leucogranite alkaline;Tr;Orogochin massif;D.M.Shuster;;V.I.Shulika,1966;1
1713;-347160322,7;-50938753,88;1;W;"49°40'0.0""";"111°6'0.0""";;49,6666399;111,0999732;72,88322632;0,100321027;15,31902087;4,805377207;1,43459069;0,010032103;0,481540931;1,65529695;1,294141252;1,013242376;0,010032103;0,983146067;0,010032103;100;0,01;Granodiorite-porphyry;J1-J2;;Filippova;;A.Ya.Koltun,1955;1
1714;-314493994,3;-141481572,5;1;W;"51°44'0.0""";"107°33'50.0""";;51,73351;107,5640656;72,32898536;0,189186498;14,61714627;0,995718411;0,746788808;0,039828736;0,109529025;0,766703176;2,160708952;7,806432341;0,049785921;0,139400578;0,049785921;100;0,01;Leucogranite;Tr;;;Oth.:so3-0.05;D.V.Trunev,1961;1
1715;-363633481,1;-239831303,7;1;W;"52°49'20.0""";"117°20'40.0""";;52,82221695;117,3444392;72,58193445;0,199840128;13,63908873;0,779376499;1,418864908;0,029976019;0,309752198;1,258992806;4,496402878;4,896083133;0,089928058;0,289768185;0,009992006;100;0,01;Granite;Tr;;D.M.Shuster;;A.V.Ivanov,1966;1
